"SWIMZONE","LOCALZONE","LOCALPCT","SWIMPCT"
2389,136,100,10.761278925035
2389,137,100,34.935905514924
2389,138,100,11.42429610999
2389,139,0.232919254658,0.054050313991
2390,165,100,27.717259743404
2390,457,100,23.021060275962
2390,458,100,25.344952795933
2390,459,100,15.347373517308
2390,460,100,8.569353667393
2391,159,100,35.894125242092
2391,160,100,27.437056165268
2391,161,100,23.240800516462
2391,162,100,13.428018076178
2392,166,100,32.213562280743
2392,167,100,28.748044578169
2392,168,55.334070312818,25.110375317018
2392,169,100,13.92801782407
2393,158,100,20.700115888004
2393,168,44.665929687182,15.901917243062
2393,170,100,63.397966868933
2394,178,3.449182441143,0.374282594896
2394,179,100,9.762453323461
2394,180,100,15.338316087053
2394,181,100,4.543295585149
2394,183,3.909167797758,0.401446120828
2394,184,100,4.562069533848
2394,185,100,52.585830305798
2394,186,100,12.090422962133
2394,468,1.892986103512,0.341883486834
2395,173,100,5.337809857766
2395,202,98.666375024928,30.06595235826
2395,203,100,16.294366934233
2395,204,4.360493347577,0.240268333447
2395,465,100,8.915078920339
2395,466,100,6.779954977233
2395,467,100,14.908409286954
2395,468,96.895842080665,17.458159331768
2396,178,96.550817558857,20.904111512443
2396,182,100,15.133148178747
2396,199,97.380116959064,8.207307955722
2396,200,98.28431372549,6.185024306602
2396,201,100,10.825445108064
2396,202,1.333624975072,0.812772858367
2396,403,100,26.145884724668
2396,431,100,11.349861134061
2396,468,1.211171815823,0.436444221325
2397,183,96.090832202242,29.790220860283
2397,196,100,20.460283354023
2397,197,100,8.218119352724
2397,198,100,21.650493743038
2397,199,2.619883040936,0.334094144285
2397,200,1.71568627451,0.163362210257
2397,293,100,7.367969074856
2397,294,100,12.015457260534
2398,211,100,0.647482014388
2398,212,100,27.05035971223
2398,213,13.165266106443,3.381294964029
2398,214,100,23.956834532374
2398,215,100,30.215827338129
2398,302,0.095510983763,0.071942446043
2398,435,100,14.676258992806
2399,209,100,4.357180663055
2399,210,100,3.492660690226
2399,213,19.047619047619,1.175747163047
2399,386,27.905962533326,0.839559116593
2399,387,100,0.172903994566
2399,388,100,19.590022584288
2399,389,100,7.988164548934
2399,390,100,10.339658875027
2399,391,100,1.486974353265
2399,392,100,1.383231956525
2399,424,100,15.630521108736
2399,425,100,10.616305266332
2399,426,100,0.345807989131
2399,427,100,0.069161597826
2399,428,100,1.383231956525
2399,429,100,0.449550385871
2399,430,100,2.939367907616
2399,432,100,0.034580798913
2399,433,100,4.945054244578
2399,434,100,0.795358375002
2399,436,100,7.019902179366
2399,437,100,4.945054244578
2400,204,95.639506652423,9.061381474223
2400,205,100,18.968356934515
2400,206,100,0.032204341145
2400,379,100,0.257634729161
2400,380,100,27.888959431731
2400,393,100,16.939483442368
2400,399,100,7.020546369651
2400,400,100,3.864520937422
2400,415,100,0.315602543223
2400,416,100,8.759580791491
2400,443,100,6.89172900507
2401,230,100,8.067279239994
2401,370,100,0.218034574054
2401,371,100,1.837719981311
2401,372,100,2.491823703473
2401,373,100,0.498364740695
2401,394,100,7.94268805482
2401,395,100,13.876343248715
2401,396,100,2.74100607382
2401,397,100,14.70175985049
2401,398,100,4.236100295904
2401,417,100,0.934433888802
2401,418,100,1.775424388724
2401,419,100,0.09344338888
2401,420,100,1.059025073976
2401,421,100,5.575455536521
2401,422,100,9.873851425012
2401,423,100,9.718112443545
2401,438,100,0.809842703629
2401,439,100,6.198411462389
2401,440,100,5.139386388413
2401,441,100,0.155738981467
2401,442,100,1.931163370192
2401,445,100,0.124591185174
2402,213,67.787114845938,6.598601770936
2402,229,100,0.190868646267
2402,301,100,6.544067872003
2402,302,99.904489016237,28.521229142145
2402,303,100,0.627139837734
2402,381,100,4.880783954535
2402,382,100,2.072288159468
2402,383,100,0.599872888267
2402,384,100,8.61635603147
2402,385,100,0.6544067872
2402,386,72.094037466674,3.420464989027
2402,446,100,0.381737292533
2402,447,100,27.021546921478
2402,448,100,0.1636016968
2402,449,100,9.707034010137
2403,234,100,0.422509888529
2403,235,100,12.421790722762
2403,328,4.761904761905,1.183027687882
2403,333,100,15.582524271845
2403,334,100,13.858324343761
2403,335,100,15.041352031643
2403,347,89.457831325301,18.252427184466
2403,348,69.0042459937,19.350952894642
2403,351,100,3.88709097447
2404,246,100,0.347356233115
2404,339,100,0.231570822076
2404,340,100,3.002950660475
2404,341,100,0.038595137013
2404,342,100,6.85239114417
2404,343,100,1.402849327941
2404,344,100,8.014364103166
2404,345,100,8.590926634153
2404,346,100,2.585874179853
2404,347,10.542168674699,0.982421669415
2404,348,30.9957540063,3.970036139083
2404,349,23.611188428974,1.903441984492
2404,350,46.375421732897,13.632854987544
2404,471,100,13.344282769931
2404,472,100,8.722500964878
2404,473,100,7.024314936318
2404,474,100,19.353268306375
2405,236,100,2.80513279618
2405,238,100,8.833655621257
2405,239,100,1.952508845973
2405,240,100,0.659270841499
2405,241,100,16.22221187548
2405,242,100,5.724760808531
2405,243,100,2.37577573554
2405,323,100,4.224545034053
2405,324,72.727272727273,0.457980864682
2405,325,100,8.359273282575
2405,326,100,7.309725493018
2405,327,100,4.532102306754
2405,328,95.238095238095,8.014665131944
2405,329,100,5.06641331555
2405,330,100,7.862004843716
2405,331,100,4.293570606398
2405,332,100,10.476312279612
2405,337,0.757894736842,0.114495216171
2406,232,40.431770414385,4.706806968519
2406,258,100,2.609858311385
2406,259,17.532467532468,0.400375990951
2406,260,100,28.709782692597
