SERIALNO,PWGTP,AGEP,RELP,SCHG,SEX,WKHP,ESR,PINCP
2.01E+12,18,68,0,0,2,0,6,27000
2.01E+12,30,26,5,0,1,40,1,30000
2.01E+12,12,64,0,7,1,40,1,154500
2.01E+12,27,64,1,0,2,0,6,36000
2.01E+12,27,38,0,0,2,20,1,8300
2.01E+12,30,43,1,0,1,40,1,56000
2.01E+12,22,5,2,2,2,0,0,0
2.01E+12,26,2,2,0,2,0,0,0
2.01E+12,12,66,0,0,1,30,1,104000
2.01E+12,14,65,1,0,2,36,1,34400
2.01E+12,14,37,0,0,1,50,1,50000
2.01E+12,19,37,1,0,2,18,1,5200
2.01E+12,12,13,2,4,2,0,0,0
2.01E+12,12,10,2,4,2,0,0,0
2.01E+12,12,5,2,1,2,0,0,0
2.01E+12,13,50,0,0,1,56,1,90000
2.01E+12,13,54,1,7,2,55,1,50000
2.01E+12,21,36,0,0,1,40,1,27000
2.01E+12,23,33,1,0,2,50,1,49000
2.01E+12,18,10,2,3,2,0,0,0
2.01E+12,18,5,2,2,2,0,0,0
2.01E+12,5,40,0,0,2,42,1,30000
2.01E+12,5,47,0,0,1,65,1,40000
2.01E+12,5,42,1,0,2,0,6,0
2.01E+12,49,20,0,0,2,32,1,10200
2.01E+12,63,21,9,0,2,40,1,26000
2.01E+12,9,51,0,0,1,40,1,72000
2.01E+12,15,43,10,0,2,40,1,70000
2.01E+12,15,20,12,6,2,0,6,0
2.01E+12,4,62,0,0,1,60,1,139000
2.01E+12,5,63,1,0,2,16,1,10320
2.01E+12,32,47,0,0,1,60,1,90000
2.01E+12,28,47,1,0,2,40,1,30000
2.01E+12,14,53,0,0,2,32,1,19000
2.01E+12,24,23,2,0,2,25,6,1200
2.01E+12,16,3,5,1,1,0,0,0
2.01E+12,16,0,5,0,2,0,0,0
2.01E+12,14,53,0,0,1,60,1,50000
2.01E+12,13,56,0,0,1,0,6,10900
2.01E+12,47,25,0,0,1,55,1,30000
2.01E+12,30,0,2,0,2,0,0,0
2.01E+12,39,26,10,0,2,0,6,0
2.01E+12,35,50,12,0,2,40,1,30000
2.01E+12,16,34,0,0,1,40,1,35000
2.01E+12,13,49,0,0,1,42,1,33804
2.01E+12,13,49,1,0,2,19,1,11604
2.01E+12,24,24,2,0,2,46,1,14404
2.01E+12,39,51,0,0,2,60,1,60000
2.01E+12,51,36,1,6,1,20,1,17000
2.01E+12,67,16,2,5,2,0,6,0
2.01E+12,3,65,0,0,1,40,1,32300
2.01E+12,4,66,1,0,2,16,1,13000
2.01E+12,22,40,0,0,2,40,1,26900
2.01E+12,23,46,1,0,1,40,1,42000
2.01E+12,15,51,0,0,2,40,1,47000
2.01E+12,15,50,1,0,1,40,1,48000
2.01E+12,16,69,0,0,2,0,6,34300
2.01E+12,13,73,1,0,1,0,6,60200
2.01E+12,16,64,0,0,1,40,1,47000
2.01E+12,35,25,2,0,1,40,1,11000
2.01E+12,16,42,0,0,1,40,1,37200
2.01E+12,13,38,1,0,2,12,1,4000
2.01E+12,10,15,2,5,1,0,0,0
2.01E+12,25,67,0,0,1,40,1,415000
2.01E+12,26,60,1,0,2,20,1,21600
2.01E+12,18,71,0,0,1,0,6,6300
2.01E+12,20,79,1,0,2,0,6,5400
2.01E+12,17,61,0,0,1,40,1,55000
2.01E+12,19,55,9,6,2,0,6,0
2.01E+12,20,30,0,0,1,40,1,35000
2.01E+12,17,25,10,0,2,40,1,33000
2.01E+12,13,72,0,0,1,50,6,45100
2.01E+12,14,72,1,0,2,0,6,8400
2.01E+12,24,48,2,0,1,55,1,28200
2.01E+12,21,47,6,0,2,0,6,0
2.01E+12,14,31,0,0,2,0,6,0
